Eng Displ,# Cyl,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel
6.2,8,15,25
6.2,8,14,21
6.2,8,16,26
7,8,15,24
4.7,8,16,24
1,3,34,38
1,3,34,38
2.7,6,22,32
2.7,6,20,30
3.4,6,20,28
3.4,6,19,27
3.4,6,20,28
3.4,6,19,27
3.4,6,20,27
3.4,6,19,26
3.8,6,19,26
3.8,6,18,26
3.8,6,19,26
3.8,6,18,26
3.4,6,20,28
3.4,6,19,27
3.8,6,20,27
3.8,6,19,27
3.8,6,19,27
3.8,6,19,27
2,4,25,34
2,4,22,30
2,4,25,34
2,4,22,30
4,8,14,24
6,12,11,19
6,12,12,19
3.7,6,19,31
3.7,6,19,29
5,8,18,25
5,8,15,26
5.8,8,15,24
3.7,6,19,30
2,4,20,31
2,4,21,30
3.8,6,18,28
3.8,6,18,27
3.7,6,17,25
3.7,6,16,24
3.7,6,19,27
3.7,6,17,25
3.7,6,18,25
3.8,6,16,23
4,8,15,24
6,12,12,19
3.6,6,19,30
3.6,6,17,28
6.2,8,15,24
6.2,8,12,18
6.2,8,16,24
6.2,8,14,19
1.6,4,30,40
1.6,4,30,40
1.6,4,30,40
1.6,4,30,40
1.6,4,31,40
2,4,22,31
2,4,21,32
3.6,6,17,27
3.6,6,17,25
3,6,17,28
6,12,11,19
2.4,4,25,36
3.6,6,17,27
2.4,4,25,36
6.2,8,12,18
6.2,8,14,19
2.4,4,25,37
1.4,4,27,39
2,4,25,36
1.8,4,29,40
1.8,4,29,40
1.8,4,30,40
1.8,4,28,39
1.8,4,29,40
3.5,6,27,32
3.7,6,18,26
3.7,6,17,24
5.6,8,16,24
5.6,8,16,23
3.5,6,19,28
3.5,6,19,26
3.5,6,29,34
2.5,4,21,30
2.5,4,21,30
3.7,6,18,27
2.5,4,24,32
2.5,4,21,28
3.6,6,18,25
3,6,17,28
3.6,6,17,28
3.5,6,18,26
3.5,6,17,25
3.5,6,18,26
3.5,6,19,29
3.5,6,19,29
5,8,15,23
2,4,22,34
2.4,4,24,35
2.4,4,24,35
3.5,6,17,25
3.7,6,18,26
3.7,6,18,27
3.6,6,18,27
3.6,6,18,26
4.8,8,16,24
4.8,8,16,23
4.8,8,16,24
2,4,20,27
6.2,8,12,18
6.2,8,14,19
4.3,6,15,20
4.8,8,14,19
5.3,8,15,21
6.2,8,13,18
5.3,8,15,22
4.3,6,15,20
4.8,8,14,19
5.3,8,15,21
6.2,8,13,18
5.3,8,15,22
4.3,6,14,18
4.8,8,13,18
5.3,8,15,21
6.2,8,12,18
4.3,6,14,18
4.8,8,13,18
5.3,8,15,21
6.2,8,12,18
6.2,8,12,18
4.3,6,15,20
5.3,8,13,18
5.3,8,13,17
6,8,10,15
5.3,8,13,17
5.3,8,13,17
4.3,6,15,20
5.3,8,13,18
5.3,8,13,17
6,8,10,15
5.3,8,13,17
5.3,8,13,17
5.3,8,13,17
4.8,8,11,17
6,8,11,16
4.8,8,11,17
6,8,11,16
5.3,8,13,17
5.3,8,13,17
4.8,8,11,17
6,8,11,16
4.8,8,11,17
6,8,11,16
5.3,8,13,17
2,4,20,28
3.7,6,17,24
4.8,8,15,21
4.8,8,16,22
2,4,21,30
3.5,6,19,27
3.7,6,19,26
2,4,22,30
2.5,4,22,31
2,4,23,31
2,4,20,27
2.4,4,22,32
2.4,4,21,29
3.5,6,18,24
2.4,4,22,32
2.4,4,21,29
2.4,4,20,27
3.5,6,20,26
2,4,22,29
2.4,4,22,32
2.4,4,21,29
3.5,6,18,25
3.5,6,32,28
3.5,6,17,25
3.7,6,19,26
2,4,26,32
2,4,26,35
2,4,21,28
3,6,19,26
4.4,8,14,20
4.4,8,14,20
3.5,6,18,25
3.7,6,17,23
1.6,4,22,30
2,4,21,28
2.4,4,21,28
2.4,4,20,27
3.5,6,18,23
2.4,4,21,28
2.4,4,21,27
3.5,6,18,24
2,4,21,26
2.4,4,21,28
2.4,4,20,27
3.5,6,18,24
3.5,6,30,28
3.5,6,16,23
3.7,6,17,23
2,4,25,31
2.5,4,21,27
2.5,4,19,24
2.5,4,21,27
2.5,4,24,30
2.5,4,21,28
3.6,6,18,25
6.2,8,14,18
6.2,8,14,18
5.3,8,15,21
5.3,8,15,21
5.3,8,15,21
6,8,10,16
3.5,6,17,24
2,4,20,28
3.5,6,17,24
3.5,6,18,25
5.3,8,15,21
6.2,8,14,18
5.3,8,15,21
6.2,8,14,18
6,8,10,16
3.2,6,16,23
4.4,8,12,17
3,6,16,23
4.4,8,12,17
3,6,16,23
6.2,8,13,18
6.2,8,13,18
6.2,8,13,18
5.3,8,15,21
5.3,8,15,21
5.3,8,15,21
6,8,10,15
3.5,6,17,23
3.5,6,17,23
3.5,6,16,23
5.3,8,15,21
6.2,8,13,18
5.3,8,15,21
6.2,8,13,18
6,8,10,15
5.7,8,12,17
5.7,8,13,18
3.2,6,16,23